stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
999999,12839,1948,04,28,73.2,24,64.7,24,1009.5,24,1009.1,24,10.6,24,9.1,24,13.0,999.9,88.0,*,64.0,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,04,29,77.7,24,62.8,24,1008.1,24,1007.7,24,12.3,24,10.8,24,17.1,999.9,88.0,*,70.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,04,30,71.8,24,57.1,24,1010.4,24,1010.1,24,11.4,24,9.9,24,15.9,999.9,82.0,*,61.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,01,74.0,24,61.4,24,1014.3,24,1014.0,24,11.0,24,7.0,24,13.0,999.9,82.0,*,64.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,02,75.0,24,66.1,24,1016.5,24,1016.1,24,10.2,24,6.9,24,15.9,999.9,84.9,*,64.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,03,78.6,24,69.7,24,1016.6,24,1016.2,24,9.7,24,7.8,24,17.1,999.9,87.1,*,69.1,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,05,04,78.8,24,70.0,24,1015.7,24,1015.3,24,9.7,24,7.4,24,15.9,999.9,86.0,*,69.1,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,05,05,79.3,24,69.6,24,1015.2,24,1014.8,24,10.6,24,8.0,24,15.0,999.9,86.0,*,70.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,06,79.3,24,69.8,24,1014.2,24,1013.8,24,10.5,24,9.9,24,22.0,999.9,86.0,*,71.1,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,07,81.8,24,70.7,24,1013.3,24,1012.9,24,9.9,24,8.2,24,17.1,999.9,91.0,*,73.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,08,77.6,24,69.7,24,1014.9,24,1014.5,24,9.7,24,6.8,24,14.0,999.9,87.1,*,69.1,*,99.99,,999.9,0,1,0,0,1,0
